. Sequence file : [Muscle_ACT1_Complete_sequence_for_phylogeny.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	


  #16	20   	-3373.59074	Yes        	8        	24.694    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.79550   0.05164   0.62526   0.11860  
      	     	          	           	          	           	             	                                      	 0.06833  -1.11120   0.02774   1.01513  
      	     	          	           	          	           	             	                                      	 0.74415   0.02495  -1.00662   0.23752  
      	     	          	           	          	           	             	                                      	 0.12222   0.79054   0.20566  -1.11842  

  #17	20   	-3337.33511	Yes        	8        	107.504    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.69194   0.06863   0.54648   0.07683  
      	     	          	           	          	           	             	                                      	 0.09082  -1.23545   0.04275   1.10188  
      	     	          	           	          	           	             	                                      	 0.65039   0.03845  -0.95808   0.26924  
      	     	          	           	          	           	             	                                      	 0.07918   0.85810   0.23312  -1.17039  

  #18	20   	-3229.67743	Yes        	8        	12.070    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.71530   0.07829   0.54152   0.09550  
      	     	          	           	          	           	             	                                      	 0.10359  -1.26979   0.04971   1.11649  
      	     	          	           	          	           	             	                                      	 0.64449   0.04471  -0.91124   0.22204  
      	     	          	           	          	           	             	                                      	 0.09841   0.86947   0.19225  -1.16014  

  #19	20   	-3179.94986	Yes        	8        	1363.849    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.70290   0.08539   0.49790   0.11961  
      	     	          	           	          	           	             	                                      	 0.11299  -1.30462   0.08504   1.10658  
      	     	          	           	          	           	             	                                      	 0.59257   0.07649  -0.88299   0.21393  
      	     	          	           	          	           	             	                                      	 0.12326   0.86176   0.18523  -1.17025  

  #20	20   	-3273.21362	Yes        	8        	1547.424    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.80813   0.15272   0.53714   0.11827  
      	     	          	           	          	           	             	                                      	 0.20210  -1.26752   0.08301   0.98241  
      	     	          	           	          	           	             	                                      	 0.63928   0.07466  -0.91613   0.20219  
      	     	          	           	          	           	             	                                      	 0.12188   0.76506   0.17507  -1.06200  

  #21	20   	-3205.27152	Yes        	8        	370.439    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.64364   0.04851   0.44614   0.14899  
      	     	          	           	          	           	             	                                      	 0.06420  -1.16594   0.04104   1.06070  
      	     	          	           	          	           	             	                                      	 0.53097   0.03691  -0.93319   0.36530  
      	     	          	           	          	           	             	                                      	 0.15353   0.82603   0.31630  -1.29586  

  #22	20   	-3203.23489	Yes        	8        	5.757    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.69408   0.04700   0.53133   0.11575  
      	     	          	           	          	           	             	                                      	 0.06220  -1.24477   0.04631   1.13626  
      	     	          	           	          	           	             	                                      	 0.63237   0.04166  -0.90659   0.23257  
      	     	          	           	          	           	             	                                      	 0.11928   0.88487   0.20137  -1.20552  

  #23	20   	-3240.30550	Yes        	8        	3.794    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.74225   0.01567   0.55011   0.17646  
      	     	          	           	          	           	             	                                      	 0.02074  -1.10240   0.08304   0.99862  
      	     	          	           	          	           	             	                                      	 0.65471   0.07469  -0.99541   0.26601  
      	     	          	           	          	           	             	                                      	 0.18184   0.77768   0.23033  -1.18985  

  #24	20   	-3224.08588	Yes        	8        	2507.961    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.75382   0.08281   0.54800   0.12301  
      	     	          	           	          	           	             	                                      	 0.10958  -1.25084   0.08486   1.05640  
      	     	          	           	          	           	             	                                      	 0.65221   0.07632  -0.92715   0.19862  
      	     	          	           	          	           	             	                                      	 0.12676   0.82268   0.17198  -1.12142  

  #25	20   	-3328.79773	Yes        	8        	698.690    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78737   0.03767   0.58094   0.16876  
      	     	          	           	          	           	             	                                      	 0.04985  -1.07493   0.06965   0.95543  
      	     	          	           	          	           	             	                                      	 0.69141   0.06264  -1.01723   0.26318  
      	     	          	           	          	           	             	                                      	 0.17391   0.74405   0.22788  -1.14584  

  #26	20   	-3288.93645	Yes        	8        	1375.362    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.81138   0.14297   0.57490   0.09351  
      	     	          	           	          	           	             	                                      	 0.18919  -1.25628   0.09689   0.97020  
      	     	          	           	          	           	             	                                      	 0.68422   0.08714  -0.96819   0.19683  
      	     	          	           	          	           	             	                                      	 0.09636   0.75555   0.17042  -1.02233  

  #27	20   	-3382.72259	Yes        	8        	425.137    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.72935   0.11645   0.47573   0.13718  
      	     	          	           	          	           	             	                                      	 0.15409  -1.35418   0.08516   1.11493  
      	     	          	           	          	           	             	                                      	 0.56619   0.07659  -0.81761   0.17483  
      	     	          	           	          	           	             	                                      	 0.14136   0.86826   0.15138  -1.16101  

  #28	20   	-3365.64833	Yes        	8        	2506.894    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.71214   0.07139   0.50539   0.13536  
      	     	          	           	          	           	             	                                      	 0.09447  -1.27229   0.06268   1.11514  
      	     	          	           	          	           	             	                                      	 0.60149   0.05637  -0.87321   0.21535  
      	     	          	           	          	           	             	                                      	 0.13949   0.86842   0.18646  -1.19437  

