. Sequence file : [Muscle_ACT1_Exon2_for_phylogeny.fasta.alter2.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	104   	-5886.94154	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.76265   0.11724   0.47306   0.17234  
      	     	          	           	          	           	             	                                      	 0.14608  -1.28784   0.06653   1.07523  
      	     	          	           	          	           	             	                                      	 0.53812   0.06074  -0.81117   0.21230  
      	     	          	           	          	           	             	                                      	 0.16419   0.82219   0.17781  -1.16419  

  #17	104   	-5883.97438	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.83652   0.08163   0.53437   0.22052  
      	     	          	           	          	           	             	                                      	 0.10171  -1.20515   0.15762   0.94582  
      	     	          	           	          	           	             	                                      	 0.60785   0.14391  -0.91501   0.16325  
      	     	          	           	          	           	             	                                      	 0.21009   0.72323   0.13673  -1.07006  

  #18	104   	-6048.91179	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.65568   0.09349   0.38289   0.17930  
      	     	          	           	          	           	             	                                      	 0.11648  -1.45952   0.12165   1.22138  
      	     	          	           	          	           	             	                                      	 0.43555   0.11107  -0.69683   0.15022  
      	     	          	           	          	           	             	                                      	 0.17082   0.93394   0.12581  -1.23058  

  #19	104   	-6018.15093	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.74623   0.10954   0.46714   0.16956  
      	     	          	           	          	           	             	                                      	 0.13648  -1.42013   0.13289   1.15076  
      	     	          	           	          	           	             	                                      	 0.53138   0.12133  -0.75414   0.10143  
      	     	          	           	          	           	             	                                      	 0.16154   0.87994   0.08495  -1.12643  

  #20	104   	-5901.37551	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.80368   0.07973   0.52958   0.19437  
      	     	          	           	          	           	             	                                      	 0.09933  -1.22862   0.09335   1.03593  
      	     	          	           	          	           	             	                                      	 0.60241   0.08523  -0.86466   0.17702  
      	     	          	           	          	           	             	                                      	 0.18518   0.79214   0.14826  -1.12558  

  #21	104   	-5847.48425	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.64110   0.09129   0.36402   0.18579  
      	     	          	           	          	           	             	                                      	 0.11374  -1.41110   0.17328   1.12408  
      	     	          	           	          	           	             	                                      	 0.41408   0.15821  -0.78078   0.20850  
      	     	          	           	          	           	             	                                      	 0.17701   0.85954   0.17463  -1.21118  

  #22	104   	-5874.10677	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.87833   0.09500   0.55852   0.22480  
      	     	          	           	          	           	             	                                      	 0.11837  -1.21390   0.11120   0.98433  
      	     	          	           	          	           	             	                                      	 0.63533   0.10152  -0.85977   0.12291  
      	     	          	           	          	           	             	                                      	 0.21418   0.75268   0.10294  -1.06980  

  #23	104   	-6118.69734	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.77450   0.06516   0.46895   0.24039  
      	     	          	           	          	           	             	                                      	 0.08119  -1.25764   0.09196   1.08450  
      	     	          	           	          	           	             	                                      	 0.53344   0.08395  -0.78454   0.16714  
      	     	          	           	          	           	             	                                      	 0.22902   0.82928   0.13999  -1.19829  

  #24	104   	-6014.99257	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.86578   0.07705   0.58830   0.20043  
      	     	          	           	          	           	             	                                      	 0.09600  -1.18492   0.14121   0.94771  
      	     	          	           	          	           	             	                                      	 0.66920   0.12893  -0.94136   0.14323  
      	     	          	           	          	           	             	                                      	 0.19095   0.72468   0.11996  -1.03559  

  #25	104   	-5844.98138	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.81710   0.12045   0.48849   0.20816  
      	     	          	           	          	           	             	                                      	 0.15007  -1.31571   0.14201   1.02362  
      	     	          	           	          	           	             	                                      	 0.55567   0.12965  -0.81389   0.12856  
      	     	          	           	          	           	             	                                      	 0.19831   0.78273   0.10768  -1.08872  

  #26	104   	-5984.31440	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.85064   0.11969   0.51784   0.21311  
      	     	          	           	          	           	             	                                      	 0.14913  -1.22393   0.08550   0.98930  
      	     	          	           	          	           	             	                                      	 0.58905   0.07806  -0.84045   0.17334  
      	     	          	           	          	           	             	                                      	 0.20303   0.75648   0.14518  -1.10469  

  #27	104   	-5960.21617	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.78737   0.05810   0.46244   0.26683  
      	     	          	           	          	           	             	                                      	 0.07239  -1.28738   0.15348   1.06151  
      	     	          	           	          	           	             	                                      	 0.52603   0.14012  -0.78347   0.11732  
      	     	          	           	          	           	             	                                      	 0.25421   0.81170   0.09826  -1.16417  

  #28	104   	-6135.79461	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.74386   0.09520   0.43294   0.21573  
      	     	          	           	          	           	             	                                      	 0.11861  -1.30133   0.08759   1.09514  
