. Sequence file : [Muscle_GPD1.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	19   	-3050.28022	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90957   0.12439   0.57746   0.20772  
      	     	          	           	          	           	             	                                      	 0.21732  -1.18149   0.14674   0.81742  
      	     	          	           	          	           	             	                                      	 0.85523   0.12439  -1.18734   0.20772  
      	     	          	           	          	           	             	                                      	 0.21732   0.48952   0.14674  -0.85359  

  #17	19   	-2946.14947	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90478   0.10035   0.63686   0.16757  
      	     	          	           	          	           	             	                                      	 0.17532  -1.19521   0.11838   0.90151  
      	     	          	           	          	           	             	                                      	 0.94320   0.10035  -1.21112   0.16757  
      	     	          	           	          	           	             	                                      	 0.17532   0.53988   0.11838  -0.83358  

  #18	19   	-3050.29771	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90542   0.10356   0.62894   0.17292  
      	     	          	           	          	           	             	                                      	 0.18092  -1.19338   0.12216   0.89030  
      	     	          	           	          	           	             	                                      	 0.93148   0.10356  -1.20795   0.17292  
      	     	          	           	          	           	             	                                      	 0.18092   0.53317   0.12216  -0.83624  

  #19	19   	-3008.09663	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90032   0.07796   0.69219   0.13017  
      	     	          	           	          	           	             	                                      	 0.13619  -1.20799   0.09196   0.97984  
      	     	          	           	          	           	             	                                      	 1.02515   0.07796  -1.23328   0.13017  
      	     	          	           	          	           	             	                                      	 0.13619   0.58679   0.09196  -0.81494  

  #20	19   	-3084.45769	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90558   0.10436   0.62695   0.17426  
      	     	          	           	          	           	             	                                      	 0.18232  -1.19292   0.12311   0.88749  
      	     	          	           	          	           	             	                                      	 0.92853   0.10436  -1.20716   0.17426  
      	     	          	           	          	           	             	                                      	 0.18232   0.53148   0.12311  -0.83691  

